seq_length,hidden_size,num_layers,dropout,lr,batch_size,mean_val_loss,std_val_loss,val_loss_seed_0,val_loss_seed_1,val_loss_seed_2,val_loss_seed_3,val_loss_seed_4,val_loss_seed_5,val_loss_seed_6,val_loss_seed_7,val_loss_seed_8,val_loss_seed_9
8,32,1,0.1,0.001,32,0.5860504622511806,0.02875358786328827,0.6000030031591131,0.5486371408611515,0.574064891972737,0.6320423832043396,0.5394948899835805,0.5610608045469251,0.6005372750491166,0.5948187112350736,0.6225773055857995,0.587268216913969
8,32,1,0.1,0.0005,32,0.577602324468405,0.02715816478354402,0.5952579916394942,0.553512669638431,0.5766678525864729,0.6248715132807126,0.528560047500293,0.5450737277579586,0.5982486049933304,0.5744109945731205,0.5949767903190607,0.5844430523951761
8,32,1,0.2,0.001,32,0.5802175239566442,0.028123620660910013,0.6114726955866256,0.5658558799223484,0.53868874813381,0.61797243126216,0.5355774853928613,0.555963641971524,0.596841366390823,0.589674492088849,0.6047736479394269,0.5853548508780132
8,32,1,0.2,0.0005,32,0.5820226534288813,0.021547933181332177,0.6032038828434303,0.5540213747298596,0.5708302113570665,0.6079599674213787,0.5538325903447051,0.5613037782280068,0.5958367559252775,0.5763994824032337,0.61614360373184,0.5806948873040141
8,32,1,0.3,0.001,32,0.593986028764555,0.028463689241603182,0.6068201034215459,0.5503736181565893,0.5748702068862163,0.6327129866492156,0.5978459631245344,0.5433862699751268,0.6002512109885264,0.6062004339189557,0.6314328805105053,0.5959666140143329
8,32,1,0.3,0.0005,32,0.5821972383252667,0.02425778063550314,0.5950063697950184,0.5602135244059807,0.5658245134597634,0.626472829483798,0.5511960620528947,0.5456060692755103,0.6023448641297587,0.5882147328176519,0.5914368533120866,0.5956565645202035
8,32,1,0.4,0.001,32,0.5834614754501153,0.0295615664487549,0.5887310655929192,0.5572143373460842,0.5714749148366047,0.6278907591580517,0.5386990160343634,0.5440015795809484,0.6065590068621681,0.6247803597204518,0.593473556854528,0.5817901585150336
8,32,1,0.4,0.0005,32,0.5841075521474977,0.0248901955519312,0.5958384345672284,0.5501295954005367,0.579708268297346,0.6225963037531844,0.5750958699291866,0.5418447614761821,0.5809993065501514,0.5809653904452398,0.6223116149243556,0.5915859761315654
8,32,2,0.1,0.001,32,0.5894206856630405,0.034150946400932164,0.6155069428142051,0.5672024673951125,0.5659777941062436,0.6440498491291675,0.5300996053095209,0.550891455903388,0.6241710458364752,0.5923907671221778,0.6164588415221861,0.5874580874919282
8,32,2,0.1,0.0005,32,0.5869367161157885,0.02680274433713409,0.6259098160510872,0.560795974050654,0.5797086229188401,0.6202409255193078,0.5526318306288523,0.5457414423164568,0.5833703838201643,0.5885815888163988,0.5964648974591006,0.6159216795770223
8,32,2,0.2,0.001,32,0.5879523404237232,0.023141956153588494,0.5981424233282518,0.5491327283250397,0.603266810255441,0.6102579052173341,0.5504579900758483,0.560054442391061,0.5990225804653782,0.6035449903915848,0.5996100377079034,0.6060334960793892
8,32,2,0.2,0.0005,32,0.5851261153696268,0.033663260080292155,0.6185612489431225,0.5500867419075548,0.5549009060824823,0.6396550608221551,0.5601447647186922,0.5376482258414664,0.5790324190337407,0.5884184035684978,0.6313062925305631,0.5915070902479932
8,32,2,0.3,0.001,32,0.5794864077745169,0.03249669312494877,0.5981334453612043,0.5509024321117945,0.5596870811797722,0.6237999539451989,0.515676040686558,0.545267989150962,0.6040311309351035,0.5954489440793357,0.6039483510099395,0.5979687092853002
8,32,2,0.3,0.0005,32,0.5783150701122958,0.030295196120954597,0.5989971287243547,0.5661162286103644,0.539547346541059,0.6262042838181451,0.5358035865517562,0.5394623704821045,0.5841780551082907,0.6009208051781906,0.6086144106342779,0.5833064854744147
